lon,lat,NREdom/PREdom,MAT,MAP,T_seasonality,P_seasonality,pH,CEC,Clay,Ndep,GPP,NDVI,VegeType,,,
115.70 ,-30.10 ,0.63 ,25.0 ,538,506.9 ,72.6 ,66,9,17,0.9 ,6546 ,5245,1,,,-0.46203546
146.15 ,-32.97 ,0.66 ,17.6 ,387,619.9 ,14.1 ,68,18,21,2.4 ,5539 ,5189,1,,,-0.415515444
151.00 ,-33.00 ,0.91 ,17.0 ,1300,431.4 ,33.2 ,54,21,15,3.8 ,26641 ,8175,1,,,-0.094310679
151.29 ,-33.58 ,0.68 ,17.5 ,1220,343.7 ,27.9 ,58,23,18,3.1 ,20905 ,7764,1,,,-0.385662481
146.00 ,-36.00 ,0.82 ,11.0 ,1300,559.5 ,20.7 ,70,19,24,2.9 ,11657 ,5300,1,,,-0.198450939
-71.75 ,-36.75 ,0.93 ,5.0 ,2500,434.7 ,81.2 ,58,32,26,1.8 ,22452 ,7558,1,,,-0.072570693
-71.42 ,-37.38 ,1.08 ,6.8 ,2012,461.2 ,76.0 ,61,27,20,1.5 ,8401 ,6709,1,,,0.076961041
149.15 ,-37.60 ,0.89 ,14.0 ,1008,358.4 ,13.4 ,52,17,16,2.1 ,29226 ,8356,1,,,-0.116533816
-73.22 ,-37.70 ,1.04 ,12.3 ,1530,297.0 ,75.7 ,52,32,26,1.5 ,29140 ,8928,1,,,0.039220713
176.90 ,-38.60 ,0.86 ,9.0 ,1545,384.1 ,15.9 ,51,33,29,1.8 ,27933 ,8686,1,,,-0.15082289
-63.75 ,-38.75 ,0.79 ,15.0 ,560,591.0 ,37.2 ,75,22,19,2.9 ,5073 ,5434,2,,,-0.235722334
-71.40 ,-39.60 ,1.00 ,11.0 ,850,446.7 ,63.4 ,59,26,22,1.2 ,8199 ,6719,1,,,0
-72.02 ,-40.05 ,1.30 ,13.9 ,1641,379.3 ,57.1 ,52,30,12,1.4 ,12034 ,8569,1,,,0.262364264
-71.60 ,-40.10 ,1.28 ,10.0 ,900,418.4 ,60.6 ,55,34,16,1.2 ,13033 ,7291,1,,,0.246860078
-71.39 ,-40.50 ,1.20 ,7.0 ,1350,433.8 ,65.6 ,58,27,20,1.2 ,17617 ,6664,1,,,0.182321557
-71.23 ,-40.50 ,0.99 ,11.0 ,900,452.6 ,64.7 ,60,25,22,1.0 ,8844 ,6341,1,,,-0.010050336
-71.10 ,-40.60 ,1.21 ,10.0 ,800,459.1 ,70.5 ,62,25,23,1.0 ,4097 ,4700,1,,,0.19062036
-71.55 ,-40.80 ,1.15 ,11.0 ,800,417.9 ,63.2 ,52,33,15,1.2 ,14603 ,6561,1,,,0.139761942
-71.70 ,-40.93 ,1.47 ,10.0 ,850,427.4 ,56.4 ,59,27,15,1.2 ,1993 ,6452,1,,,0.385262401
-71.60 ,-41.10 ,1.02 ,11.0 ,800,425.1 ,56.9 ,56,33,16,1.1 ,6475 ,6279,1,,,0.019802627
-72.57 ,-41.15 ,1.01 ,10.7 ,2021,343.0 ,42.2 ,52,43,21,1.5 ,16038 ,8794,1,,,0.009950331
-72.47 ,-41.87 ,0.92 ,11.0 ,1982,352.4 ,42.6 ,51,40,13,1.2 ,15865 ,8485,1,,,-0.083381609
-73.93 ,-42.12 ,1.12 ,10.4 ,1942,243.1 ,45.9 ,50,43,27,0.9 ,23670 ,8499,1,,,0.113328685
-74.09 ,-42.62 ,1.02 ,10.4 ,1942,255.0 ,41.5 ,51,32,23,0.7 ,16446 ,7590,1,,,0.019802627
-65.38 ,-42.65 ,1.00 ,13.7 ,184,529.0 ,21.1 ,77,17,14,1.1 ,2366 ,2478,2,,,0
-70.33 ,-45.42 ,0.84 ,8.4 ,137,501.0 ,38.9 ,78,25,17,0.7 ,4778 ,2058,2,,,-0.174353387
-72.73 ,-45.45 ,0.94 ,9.0 ,2941,370.1 ,26.4 ,52,43,15,0.9 ,9412 ,6878,1,,,-0.061875404
-71.42 ,-45.58 ,1.08 ,4.9 ,372,463.0 ,46.3 ,72,29,23,0.8 ,2666 ,4829,2,,,0.076961041
-72.83 ,-51.37 ,1.02 ,7.4 ,722,360.0 ,16.8 ,60,34,20,0.8 ,8770 ,5985,1,,,0.019802627
